year,week,tweets,date,classifier
2019,1,35248,2019-01-01,"All, anti-Chinese politics terms"
2019,2,23582,2019-01-08,"All, anti-Chinese politics terms"
2019,3,22404,2019-01-15,"All, anti-Chinese politics terms"
2019,4,19431,2019-01-22,"All, anti-Chinese politics terms"
2019,5,23066,2019-01-29,"All, anti-Chinese politics terms"
2019,6,27933,2019-02-05,"All, anti-Chinese politics terms"
2019,7,37835,2019-02-12,"All, anti-Chinese politics terms"
2019,8,30422,2019-02-19,"All, anti-Chinese politics terms"
2019,9,21451,2019-02-26,"All, anti-Chinese politics terms"
2019,10,27752,2019-03-05,"All, anti-Chinese politics terms"
2019,11,96875,2019-03-12,"All, anti-Chinese politics terms"
2019,12,28382,2019-03-19,"All, anti-Chinese politics terms"
2019,13,43421,2019-03-26,"All, anti-Chinese politics terms"
2019,14,43127,2019-04-02,"All, anti-Chinese politics terms"
2019,15,40221,2019-04-09,"All, anti-Chinese politics terms"
2019,16,23182,2019-04-16,"All, anti-Chinese politics terms"
2019,17,32711,2019-04-23,"All, anti-Chinese politics terms"
2019,18,36609,2019-04-30,"All, anti-Chinese politics terms"
2019,19,45853,2019-05-07,"All, anti-Chinese politics terms"
2019,20,28644,2019-05-14,"All, anti-Chinese politics terms"
2019,21,31990,2019-05-21,"All, anti-Chinese politics terms"
2019,22,21981,2019-05-28,"All, anti-Chinese politics terms"
2019,23,30951,2019-06-04,"All, anti-Chinese politics terms"
2019,24,110567,2019-06-11,"All, anti-Chinese politics terms"
2019,25,48137,2019-06-18,"All, anti-Chinese politics terms"
2019,26,96309,2019-06-25,"All, anti-Chinese politics terms"
2019,27,50968,2019-07-02,"All, anti-Chinese politics terms"
2019,28,51790,2019-07-09,"All, anti-Chinese politics terms"
2019,29,72345,2019-07-16,"All, anti-Chinese politics terms"
2019,30,114741,2019-07-23,"All, anti-Chinese politics terms"
2019,31,95893,2019-07-30,"All, anti-Chinese politics terms"
2019,32,116675,2019-08-06,"All, anti-Chinese politics terms"
2019,33,290640,2019-08-13,"All, anti-Chinese politics terms"
2019,34,274399,2019-08-20,"All, anti-Chinese politics terms"
2019,35,520658,2019-08-27,"All, anti-Chinese politics terms"
2019,36,480391,2019-09-03,"All, anti-Chinese politics terms"
