year,month,tweets,keywords,date,All
2020,4,12348,Chink,2020-04-01,Specific Terms
2020,5,14557,Chink,2020-05-01,Specific Terms
2020,6,19075,Chink,2020-06-01,Specific Terms
2020,7,15348,Chink,2020-07-01,Specific Terms
2020,8,17370,Chink,2020-08-01,Specific Terms
2020,9,11282,Chink,2020-09-01,Specific Terms
2020,10,18763,Chink,2020-10-01,Specific Terms
2020,11,26555,Chink,2020-11-01,Specific Terms
2020,12,15023,Chink,2020-12-01,Specific Terms
2008,1,0,Chunk/chonk,2008-01-01,Specific Terms
2008,2,2,Chunk/chonk,2008-02-01,Specific Terms
2008,3,0,Chunk/chonk,2008-03-01,Specific Terms
2008,4,1,Chunk/chonk,2008-04-01,Specific Terms
2008,5,5,Chunk/chonk,2008-05-01,Specific Terms
2008,6,2,Chunk/chonk,2008-06-01,Specific Terms
2008,7,4,Chunk/chonk,2008-07-01,Specific Terms
2008,8,4,Chunk/chonk,2008-08-01,Specific Terms
2008,9,6,Chunk/chonk,2008-09-01,Specific Terms
2008,10,3,Chunk/chonk,2008-10-01,Specific Terms
2008,11,2,Chunk/chonk,2008-11-01,Specific Terms
2008,12,11,Chunk/chonk,2008-12-01,Specific Terms
2009,1,14,Chunk/chonk,2009-01-01,Specific Terms
2009,2,18,Chunk/chonk,2009-02-01,Specific Terms
2009,3,34,Chunk/chonk,2009-03-01,Specific Terms
2009,4,34,Chunk/chonk,2009-04-01,Specific Terms
2009,5,82,Chunk/chonk,2009-05-01,Specific Terms
2009,6,122,Chunk/chonk,2009-06-01,Specific Terms
2009,7,166,Chunk/chonk,2009-07-01,Specific Terms
2009,8,145,Chunk/chonk,2009-08-01,Specific Terms
2009,9,152,Chunk/chonk,2009-09-01,Specific Terms
2009,10,176,Chunk/chonk,2009-10-01,Specific Terms
2009,11,149,Chunk/chonk,2009-11-01,Specific Terms
2009,12,177,Chunk/chonk,2009-12-01,Specific Terms
2010,1,155,Chunk/chonk,2010-01-01,Specific Terms
2010,2,174,Chunk/chonk,2010-02-01,Specific Terms
2010,3,214,Chunk/chonk,2010-03-01,Specific Terms
2010,4,513,Chunk/chonk,2010-04-01,Specific Terms
2010,5,335,Chunk/chonk,2010-05-01,Specific Terms
2010,6,360,Chunk/chonk,2010-06-01,Specific Terms
2010,7,329,Chunk/chonk,2010-07-01,Specific Terms
2010,8,303,Chunk/chonk,2010-08-01,Specific Terms
2010,9,268,Chunk/chonk,2010-09-01,Specific Terms
2010,10,262,Chunk/chonk,2010-10-01,Specific Terms
2010,11,279,Chunk/chonk,2010-11-01,Specific Terms
2010,12,271,Chunk/chonk,2010-12-01,Specific Terms
2011,1,321,Chunk/chonk,2011-01-01,Specific Terms
2011,2,371,Chunk/chonk,2011-02-01,Specific Terms
2011,3,629,Chunk/chonk,2011-03-01,Specific Terms
2011,4,469,Chunk/chonk,2011-04-01,Specific Terms
2011,5,466,Chunk/chonk,2011-05-01,Specific Terms
2011,6,489,Chunk/chonk,2011-06-01,Specific Terms
2011,7,572,Chunk/chonk,2011-07-01,Specific Terms
2011,8,633,Chunk/chonk,2011-08-01,Specific Terms
2011,9,594,Chunk/chonk,2011-09-01,Specific Terms
2011,10,665,Chunk/chonk,2011-10-01,Specific Terms
2011,11,754,Chunk/chonk,2011-11-01,Specific Terms
2011,12,811,Chunk/chonk,2011-12-01,Specific Terms
2012,1,1401,Chunk/chonk,2012-01-01,Specific Terms
2012,2,2051,Chunk/chonk,2012-02-01,Specific Terms
2012,3,1264,Chunk/chonk,2012-03-01,Specific Terms
2012,4,1263,Chunk/chonk,2012-04-01,Specific Terms
2012,5,1244,Chunk/chonk,2012-05-01,Specific Terms
2012,6,1265,Chunk/chonk,2012-06-01,Specific Terms
2012,7,1349,Chunk/chonk,2012-07-01,Specific Terms
2012,8,1223,Chunk/chonk,2012-08-01,Specific Terms
2012,9,1153,Chunk/chonk,2012-09-01,Specific Terms
2012,10,1197,Chunk/chonk,2012-10-01,Specific Terms
2012,11,1465,Chunk/chonk,2012-11-01,Specific Terms
2012,12,1081,Chunk/chonk,2012-12-01,Specific Terms
2013,1,1473,Chunk/chonk,2013-01-01,Specific Terms
2013,2,1323,Chunk/chonk,2013-02-01,Specific Terms
2013,3,1571,Chunk/chonk,2013-03-01,Specific Terms
2013,4,1419,Chunk/chonk,2013-04-01,Specific Terms
2013,5,1051,Chunk/chonk,2013-05-01,Specific Terms
2013,6,986,Chunk/chonk,2013-06-01,Specific Terms
2013,7,1167,Chunk/chonk,2013-07-01,Specific Terms
2013,8,1254,Chunk/chonk,2013-08-01,Specific Terms
2013,9,1016,Chunk/chonk,2013-09-01,Specific Terms
2013,10,869,Chunk/chonk,2013-10-01,Specific Terms
2013,11,824,Chunk/chonk,2013-11-01,Specific Terms
2013,12,907,Chunk/chonk,2013-12-01,Specific Terms
2014,1,851,Chunk/chonk,2014-01-01,Specific Terms
2014,2,792,Chunk/chonk,2014-02-01,Specific Terms
2014,3,771,Chunk/chonk,2014-03-01,Specific Terms
2014,4,784,Chunk/chonk,2014-04-01,Specific Terms
2014,5,743,Chunk/chonk,2014-05-01,Specific Terms
2014,6,963,Chunk/chonk,2014-06-01,Specific Terms
2014,7,866,Chunk/chonk,2014-07-01,Specific Terms
2014,8,682,Chunk/chonk,2014-08-01,Specific Terms
2014,9,648,Chunk/chonk,2014-09-01,Specific Terms
2014,10,568,Chunk/chonk,2014-10-01,Specific Terms
2014,11,686,Chunk/chonk,2014-11-01,Specific Terms
2014,12,603,Chunk/chonk,2014-12-01,Specific Terms
2015,1,1033,Chunk/chonk,2015-01-01,Specific Terms
2015,2,849,Chunk/chonk,2015-02-01,Specific Terms
2015,3,558,Chunk/chonk,2015-03-01,Specific Terms
2015,4,601,Chunk/chonk,2015-04-01,Specific Terms
2015,5,532,Chunk/chonk,2015-05-01,Specific Terms
2015,6,410,Chunk/chonk,2015-06-01,Specific Terms
2015,7,458,Chunk/chonk,2015-07-01,Specific Terms
2015,8,443,Chunk/chonk,2015-08-01,Specific Terms
2015,9,298,Chunk/chonk,2015-09-01,Specific Terms
2015,10,429,Chunk/chonk,2015-10-01,Specific Terms
2015,11,529,Chunk/chonk,2015-11-01,Specific Terms
2015,12,465,Chunk/chonk,2015-12-01,Specific Terms
2016,1,443,Chunk/chonk,2016-01-01,Specific Terms
2016,2,434,Chunk/chonk,2016-02-01,Specific Terms
2016,3,464,Chunk/chonk,2016-03-01,Specific Terms
2016,4,480,Chunk/chonk,2016-04-01,Specific Terms
2016,5,4395,Chunk/chonk,2016-05-01,Specific Terms
2016,6,1081,Chunk/chonk,2016-06-01,Specific Terms
2016,7,598,Chunk/chonk,2016-07-01,Specific Terms
2016,8,470,Chunk/chonk,2016-08-01,Specific Terms
2016,9,499,Chunk/chonk,2016-09-01,Specific Terms
2016,10,447,Chunk/chonk,2016-10-01,Specific Terms
2016,11,482,Chunk/chonk,2016-11-01,Specific Terms
2016,12,583,Chunk/chonk,2016-12-01,Specific Terms
2017,1,687,Chunk/chonk,2017-01-01,Specific Terms
2017,2,467,Chunk/chonk,2017-02-01,Specific Terms
2017,3,455,Chunk/chonk,2017-03-01,Specific Terms
2017,4,850,Chunk/chonk,2017-04-01,Specific Terms
2017,5,374,Chunk/chonk,2017-05-01,Specific Terms
2017,6,385,Chunk/chonk,2017-06-01,Specific Terms
2017,7,418,Chunk/chonk,2017-07-01,Specific Terms
2017,8,372,Chunk/chonk,2017-08-01,Specific Terms
2017,9,362,Chunk/chonk,2017-09-01,Specific Terms
2017,10,285,Chunk/chonk,2017-10-01,Specific Terms
2017,11,508,Chunk/chonk,2017-11-01,Specific Terms
2017,12,848,Chunk/chonk,2017-12-01,Specific Terms
2018,1,356,Chunk/chonk,2018-01-01,Specific Terms
2018,2,326,Chunk/chonk,2018-02-01,Specific Terms
2018,3,472,Chunk/chonk,2018-03-01,Specific Terms
2018,4,457,Chunk/chonk,2018-04-01,Specific Terms
2018,5,445,Chunk/chonk,2018-05-01,Specific Terms
2018,6,369,Chunk/chonk,2018-06-01,Specific Terms
2018,7,404,Chunk/chonk,2018-07-01,Specific Terms
2018,8,1179,Chunk/chonk,2018-08-01,Specific Terms
2018,9,1367,Chunk/chonk,2018-09-01,Specific Terms
2018,10,1620,Chunk/chonk,2018-10-01,Specific Terms
2018,11,7170,Chunk/chonk,2018-11-01,Specific Terms
2018,12,4662,Chunk/chonk,2018-12-01,Specific Terms
2019,1,11842,Chunk/chonk,2019-01-01,Specific Terms
2019,2,19468,Chunk/chonk,2019-02-01,Specific Terms
2019,3,16842,Chunk/chonk,2019-03-01,Specific Terms
2019,4,11567,Chunk/chonk,2019-04-01,Specific Terms
2019,5,11015,Chunk/chonk,2019-05-01,Specific Terms
2019,6,15027,Chunk/chonk,2019-06-01,Specific Terms
2019,7,14972,Chunk/chonk,2019-07-01,Specific Terms
2019,8,18131,Chunk/chonk,2019-08-01,Specific Terms
2019,9,16921,Chunk/chonk,2019-09-01,Specific Terms
2019,10,24832,Chunk/chonk,2019-10-01,Specific Terms
2019,11,17900,Chunk/chonk,2019-11-01,Specific Terms
2019,12,15971,Chunk/chonk,2019-12-01,Specific Terms
2020,1,43169,Chunk/chonk,2020-01-01,Specific Terms
2020,2,21325,Chunk/chonk,2020-02-01,Specific Terms
2020,3,24933,Chunk/chonk,2020-03-01,Specific Terms
2020,4,22447,Chunk/chonk,2020-04-01,Specific Terms
2020,5,25492,Chunk/chonk,2020-05-01,Specific Terms
2020,6,24130,Chunk/chonk,2020-06-01,Specific Terms
2020,7,26862,Chunk/chonk,2020-07-01,Specific Terms
2020,8,25450,Chunk/chonk,2020-08-01,Specific Terms
2020,9,82524,Chunk/chonk,2020-09-01,Specific Terms
2020,10,75061,Chunk/chonk,2020-10-01,Specific Terms
2020,11,49678,Chunk/chonk,2020-11-01,Specific Terms
2020,12,26047,Chunk/chonk,2020-12-01,Specific Terms
2008,1,2,Commie,2008-01-01,Specific Terms
2008,2,2,Commie,2008-02-01,Specific Terms
2008,3,7,Commie,2008-03-01,Specific Terms
2008,4,7,Commie,2008-04-01,Specific Terms
2008,5,2,Commie,2008-05-01,Specific Terms
2008,6,5,Commie,2008-06-01,Specific Terms
2008,7,5,Commie,2008-07-01,Specific Terms
2008,8,18,Commie,2008-08-01,Specific Terms
2008,9,8,Commie,2008-09-01,Specific Terms
2008,10,15,Commie,2008-10-01,Specific Terms
2008,11,5,Commie,2008-11-01,Specific Terms
2008,12,7,Commie,2008-12-01,Specific Terms
2009,1,13,Commie,2009-01-01,Specific Terms
2009,2,22,Commie,2009-02-01,Specific Terms
2009,3,50,Commie,2009-03-01,Specific Terms
2009,4,52,Commie,2009-04-01,Specific Terms
2009,5,48,Commie,2009-05-01,Specific Terms
2009,6,107,Commie,2009-06-01,Specific Terms
2009,7,70,Commie,2009-07-01,Specific Terms
2009,8,58,Commie,2009-08-01,Specific Terms
2009,9,148,Commie,2009-09-01,Specific Terms
2009,10,160,Commie,2009-10-01,Specific Terms
2009,11,174,Commie,2009-11-01,Specific Terms
2009,12,116,Commie,2009-12-01,Specific Terms
2010,1,117,Commie,2010-01-01,Specific Terms
2010,2,115,Commie,2010-02-01,Specific Terms
2010,3,117,Commie,2010-03-01,Specific Terms
2010,4,101,Commie,2010-04-01,Specific Terms
2010,5,106,Commie,2010-05-01,Specific Terms
2010,6,131,Commie,2010-06-01,Specific Terms
2010,7,94,Commie,2010-07-01,Specific Terms
2010,8,103,Commie,2010-08-01,Specific Terms
2010,9,137,Commie,2010-09-01,Specific Terms
2010,10,146,Commie,2010-10-01,Specific Terms
2010,11,129,Commie,2010-11-01,Specific Terms
2010,12,194,Commie,2010-12-01,Specific Terms
2011,1,308,Commie,2011-01-01,Specific Terms
2011,2,139,Commie,2011-02-01,Specific Terms
2011,3,146,Commie,2011-03-01,Specific Terms
2011,4,163,Commie,2011-04-01,Specific Terms
2011,5,167,Commie,2011-05-01,Specific Terms
2011,6,159,Commie,2011-06-01,Specific Terms
2011,7,222,Commie,2011-07-01,Specific Terms
2011,8,264,Commie,2011-08-01,Specific Terms
2011,9,220,Commie,2011-09-01,Specific Terms
2011,10,242,Commie,2011-10-01,Specific Terms
2011,11,269,Commie,2011-11-01,Specific Terms
2011,12,212,Commie,2011-12-01,Specific Terms
2012,1,251,Commie,2012-01-01,Specific Terms
2012,2,260,Commie,2012-02-01,Specific Terms
2012,3,224,Commie,2012-03-01,Specific Terms
2012,4,247,Commie,2012-04-01,Specific Terms
2012,5,277,Commie,2012-05-01,Specific Terms
2012,6,233,Commie,2012-06-01,Specific Terms
2012,7,529,Commie,2012-07-01,Specific Terms
2012,8,677,Commie,2012-08-01,Specific Terms
2012,9,266,Commie,2012-09-01,Specific Terms
2012,10,451,Commie,2012-10-01,Specific Terms
2012,11,371,Commie,2012-11-01,Specific Terms
2012,12,334,Commie,2012-12-01,Specific Terms
2013,1,253,Commie,2013-01-01,Specific Terms
2013,2,286,Commie,2013-02-01,Specific Terms
2013,3,276,Commie,2013-03-01,Specific Terms
2013,4,331,Commie,2013-04-01,Specific Terms
2013,5,315,Commie,2013-05-01,Specific Terms
2013,6,266,Commie,2013-06-01,Specific Terms
2013,7,370,Commie,2013-07-01,Specific Terms
2013,8,213,Commie,2013-08-01,Specific Terms
2013,9,259,Commie,2013-09-01,Specific Terms
2013,10,295,Commie,2013-10-01,Specific Terms
2013,11,367,Commie,2013-11-01,Specific Terms
2013,12,381,Commie,2013-12-01,Specific Terms
2014,1,318,Commie,2014-01-01,Specific Terms
2014,2,365,Commie,2014-02-01,Specific Terms
2014,3,434,Commie,2014-03-01,Specific Terms
2014,4,365,Commie,2014-04-01,Specific Terms
2014,5,246,Commie,2014-05-01,Specific Terms
2014,6,515,Commie,2014-06-01,Specific Terms
2014,7,390,Commie,2014-07-01,Specific Terms
2014,8,291,Commie,2014-08-01,Specific Terms
2014,9,352,Commie,2014-09-01,Specific Terms
2014,10,333,Commie,2014-10-01,Specific Terms
2014,11,349,Commie,2014-11-01,Specific Terms
2014,12,687,Commie,2014-12-01,Specific Terms
2015,1,349,Commie,2015-01-01,Specific Terms
2015,2,265,Commie,2015-02-01,Specific Terms
2015,3,322,Commie,2015-03-01,Specific Terms
2015,4,359,Commie,2015-04-01,Specific Terms
2015,5,368,Commie,2015-05-01,Specific Terms
2015,6,449,Commie,2015-06-01,Specific Terms
2015,7,459,Commie,2015-07-01,Specific Terms
2015,8,459,Commie,2015-08-01,Specific Terms
2015,9,407,Commie,2015-09-01,Specific Terms
2015,10,621,Commie,2015-10-01,Specific Terms
2015,11,449,Commie,2015-11-01,Specific Terms
2015,12,302,Commie,2015-12-01,Specific Terms
2016,1,374,Commie,2016-01-01,Specific Terms
2016,2,1229,Commie,2016-02-01,Specific Terms
2016,3,1450,Commie,2016-03-01,Specific Terms
2016,4,798,Commie,2016-04-01,Specific Terms
2016,5,734,Commie,2016-05-01,Specific Terms
2016,6,878,Commie,2016-06-01,Specific Terms
2016,7,950,Commie,2016-07-01,Specific Terms
2016,8,622,Commie,2016-08-01,Specific Terms
2016,9,1546,Commie,2016-09-01,Specific Terms
2016,10,826,Commie,2016-10-01,Specific Terms
2016,11,563,Commie,2016-11-01,Specific Terms
2016,12,944,Commie,2016-12-01,Specific Terms
2017,1,649,Commie,2017-01-01,Specific Terms
2017,2,624,Commie,2017-02-01,Specific Terms
2017,3,1121,Commie,2017-03-01,Specific Terms
2017,4,698,Commie,2017-04-01,Specific Terms
2017,5,843,Commie,2017-05-01,Specific Terms
2017,6,1221,Commie,2017-06-01,Specific Terms
2017,7,1817,Commie,2017-07-01,Specific Terms
2017,8,1530,Commie,2017-08-01,Specific Terms
2017,9,2148,Commie,2017-09-01,Specific Terms
2017,10,1083,Commie,2017-10-01,Specific Terms
2017,11,1052,Commie,2017-11-01,Specific Terms
2017,12,837,Commie,2017-12-01,Specific Terms
2018,1,1294,Commie,2018-01-01,Specific Terms
2018,2,849,Commie,2018-02-01,Specific Terms
2018,3,1845,Commie,2018-03-01,Specific Terms
2018,4,939,Commie,2018-04-01,Specific Terms
2018,5,1271,Commie,2018-05-01,Specific Terms
2018,6,944,Commie,2018-06-01,Specific Terms
2018,7,965,Commie,2018-07-01,Specific Terms
2018,8,1528,Commie,2018-08-01,Specific Terms
2018,9,1588,Commie,2018-09-01,Specific Terms
2018,10,1135,Commie,2018-10-01,Specific Terms
2018,11,1057,Commie,2018-11-01,Specific Terms
2018,12,1004,Commie,2018-12-01,Specific Terms
2019,1,1287,Commie,2019-01-01,Specific Terms
2019,2,958,Commie,2019-02-01,Specific Terms
2019,3,2427,Commie,2019-03-01,Specific Terms
2019,4,1000,Commie,2019-04-01,Specific Terms
2019,5,2472,Commie,2019-05-01,Specific Terms
2019,6,1105,Commie,2019-06-01,Specific Terms
2019,7,1292,Commie,2019-07-01,Specific Terms
2019,8,2944,Commie,2019-08-01,Specific Terms
2019,9,2346,Commie,2019-09-01,Specific Terms
2019,10,14288,Commie,2019-10-01,Specific Terms
2019,11,2419,Commie,2019-11-01,Specific Terms
2019,12,2209,Commie,2019-12-01,Specific Terms
2020,1,2241,Commie,2020-01-01,Specific Terms
2020,2,3627,Commie,2020-02-01,Specific Terms
2020,3,21194,Commie,2020-03-01,Specific Terms
2020,4,21824,Commie,2020-04-01,Specific Terms
2020,5,19632,Commie,2020-05-01,Specific Terms
2020,6,15704,Commie,2020-06-01,Specific Terms
2020,7,13161,Commie,2020-07-01,Specific Terms
2020,8,9446,Commie,2020-08-01,Specific Terms
2020,9,12698,Commie,2020-09-01,Specific Terms
2020,10,10488,Commie,2020-10-01,Specific Terms
2020,11,9688,Commie,2020-11-01,Specific Terms
2020,12,13626,Commie,2020-12-01,Specific Terms
2008,1,0,Dog/Bat eater,2008-01-01,Specific Terms
2008,2,0,Dog/Bat eater,2008-02-01,Specific Terms
2008,3,0,Dog/Bat eater,2008-03-01,Specific Terms
2008,4,1,Dog/Bat eater,2008-04-01,Specific Terms
2008,5,1,Dog/Bat eater,2008-05-01,Specific Terms
2008,6,0,Dog/Bat eater,2008-06-01,Specific Terms
2008,7,2,Dog/Bat eater,2008-07-01,Specific Terms
2008,8,2,Dog/Bat eater,2008-08-01,Specific Terms
2008,9,3,Dog/Bat eater,2008-09-01,Specific Terms
2008,10,3,Dog/Bat eater,2008-10-01,Specific Terms
2008,11,1,Dog/Bat eater,2008-11-01,Specific Terms
2008,12,0,Dog/Bat eater,2008-12-01,Specific Terms
2009,1,4,Dog/Bat eater,2009-01-01,Specific Terms
2009,2,1,Dog/Bat eater,2009-02-01,Specific Terms
2009,3,3,Dog/Bat eater,2009-03-01,Specific Terms
2009,4,14,Dog/Bat eater,2009-04-01,Specific Terms
2009,5,15,Dog/Bat eater,2009-05-01,Specific Terms
2009,6,9,Dog/Bat eater,2009-06-01,Specific Terms
2009,7,42,Dog/Bat eater,2009-07-01,Specific Terms
2009,8,18,Dog/Bat eater,2009-08-01,Specific Terms
2009,9,20,Dog/Bat eater,2009-09-01,Specific Terms
2009,10,11,Dog/Bat eater,2009-10-01,Specific Terms
2009,11,16,Dog/Bat eater,2009-11-01,Specific Terms
2009,12,22,Dog/Bat eater,2009-12-01,Specific Terms
2010,1,33,Dog/Bat eater,2010-01-01,Specific Terms
2010,2,22,Dog/Bat eater,2010-02-01,Specific Terms
2010,3,48,Dog/Bat eater,2010-03-01,Specific Terms
2010,4,31,Dog/Bat eater,2010-04-01,Specific Terms
2010,5,24,Dog/Bat eater,2010-05-01,Specific Terms
2010,6,65,Dog/Bat eater,2010-06-01,Specific Terms
2010,7,184,Dog/Bat eater,2010-07-01,Specific Terms
2010,8,77,Dog/Bat eater,2010-08-01,Specific Terms
2010,9,38,Dog/Bat eater,2010-09-01,Specific Terms
2010,10,32,Dog/Bat eater,2010-10-01,Specific Terms
2010,11,68,Dog/Bat eater,2010-11-01,Specific Terms
2010,12,45,Dog/Bat eater,2010-12-01,Specific Terms
2011,1,58,Dog/Bat eater,2011-01-01,Specific Terms
2011,2,41,Dog/Bat eater,2011-02-01,Specific Terms
2011,3,72,Dog/Bat eater,2011-03-01,Specific Terms
2011,4,70,Dog/Bat eater,2011-04-01,Specific Terms
2011,5,99,Dog/Bat eater,2011-05-01,Specific Terms
2011,6,82,Dog/Bat eater,2011-06-01,Specific Terms
2011,7,188,Dog/Bat eater,2011-07-01,Specific Terms
2011,8,151,Dog/Bat eater,2011-08-01,Specific Terms
2011,9,87,Dog/Bat eater,2011-09-01,Specific Terms
2011,10,90,Dog/Bat eater,2011-10-01,Specific Terms
2011,11,133,Dog/Bat eater,2011-11-01,Specific Terms
2011,12,153,Dog/Bat eater,2011-12-01,Specific Terms
2012,1,164,Dog/Bat eater,2012-01-01,Specific Terms
2012,2,187,Dog/Bat eater,2012-02-01,Specific Terms
2012,3,123,Dog/Bat eater,2012-03-01,Specific Terms
2012,4,1290,Dog/Bat eater,2012-04-01,Specific Terms
2012,5,436,Dog/Bat eater,2012-05-01,Specific Terms
2012,6,375,Dog/Bat eater,2012-06-01,Specific Terms
2012,7,483,Dog/Bat eater,2012-07-01,Specific Terms
2012,8,534,Dog/Bat eater,2012-08-01,Specific Terms
2012,9,263,Dog/Bat eater,2012-09-01,Specific Terms
2012,10,223,Dog/Bat eater,2012-10-01,Specific Terms
2012,11,203,Dog/Bat eater,2012-11-01,Specific Terms
2012,12,225,Dog/Bat eater,2012-12-01,Specific Terms
2013,1,230,Dog/Bat eater,2013-01-01,Specific Terms
2013,2,190,Dog/Bat eater,2013-02-01,Specific Terms
2013,3,1055,Dog/Bat eater,2013-03-01,Specific Terms
2013,4,233,Dog/Bat eater,2013-04-01,Specific Terms
2013,5,192,Dog/Bat eater,2013-05-01,Specific Terms
2013,6,192,Dog/Bat eater,2013-06-01,Specific Terms
2013,7,477,Dog/Bat eater,2013-07-01,Specific Terms
2013,8,433,Dog/Bat eater,2013-08-01,Specific Terms
2013,9,184,Dog/Bat eater,2013-09-01,Specific Terms
2013,10,199,Dog/Bat eater,2013-10-01,Specific Terms
2013,11,387,Dog/Bat eater,2013-11-01,Specific Terms
2013,12,188,Dog/Bat eater,2013-12-01,Specific Terms
2014,1,168,Dog/Bat eater,2014-01-01,Specific Terms
2014,2,169,Dog/Bat eater,2014-02-01,Specific Terms
2014,3,232,Dog/Bat eater,2014-03-01,Specific Terms
2014,4,141,Dog/Bat eater,2014-04-01,Specific Terms
2014,5,424,Dog/Bat eater,2014-05-01,Specific Terms
2014,6,1599,Dog/Bat eater,2014-06-01,Specific Terms
2014,7,568,Dog/Bat eater,2014-07-01,Specific Terms
2014,8,212,Dog/Bat eater,2014-08-01,Specific Terms
2014,9,277,Dog/Bat eater,2014-09-01,Specific Terms
2014,10,273,Dog/Bat eater,2014-10-01,Specific Terms
2014,11,208,Dog/Bat eater,2014-11-01,Specific Terms
2014,12,194,Dog/Bat eater,2014-12-01,Specific Terms
2015,1,222,Dog/Bat eater,2015-01-01,Specific Terms
2015,2,154,Dog/Bat eater,2015-02-01,Specific Terms
2015,3,194,Dog/Bat eater,2015-03-01,Specific Terms
2015,4,312,Dog/Bat eater,2015-04-01,Specific Terms
2015,5,325,Dog/Bat eater,2015-05-01,Specific Terms
2015,6,895,Dog/Bat eater,2015-06-01,Specific Terms
2015,7,584,Dog/Bat eater,2015-07-01,Specific Terms
2015,8,196,Dog/Bat eater,2015-08-01,Specific Terms
2015,9,166,Dog/Bat eater,2015-09-01,Specific Terms
2015,10,198,Dog/Bat eater,2015-10-01,Specific Terms
2015,11,136,Dog/Bat eater,2015-11-01,Specific Terms
2015,12,116,Dog/Bat eater,2015-12-01,Specific Terms
2016,1,112,Dog/Bat eater,2016-01-01,Specific Terms
2016,2,260,Dog/Bat eater,2016-02-01,Specific Terms
2016,3,662,Dog/Bat eater,2016-03-01,Specific Terms
2016,4,392,Dog/Bat eater,2016-04-01,Specific Terms
2016,5,515,Dog/Bat eater,2016-05-01,Specific Terms
2016,6,1202,Dog/Bat eater,2016-06-01,Specific Terms
2016,7,506,Dog/Bat eater,2016-07-01,Specific Terms
2016,8,401,Dog/Bat eater,2016-08-01,Specific Terms
2016,9,336,Dog/Bat eater,2016-09-01,Specific Terms
2016,10,900,Dog/Bat eater,2016-10-01,Specific Terms
2016,11,361,Dog/Bat eater,2016-11-01,Specific Terms
2016,12,267,Dog/Bat eater,2016-12-01,Specific Terms
2017,1,441,Dog/Bat eater,2017-01-01,Specific Terms
2017,2,159,Dog/Bat eater,2017-02-01,Specific Terms
2017,3,365,Dog/Bat eater,2017-03-01,Specific Terms
2017,4,332,Dog/Bat eater,2017-04-01,Specific Terms
2017,5,329,Dog/Bat eater,2017-05-01,Specific Terms
2017,6,2214,Dog/Bat eater,2017-06-01,Specific Terms
2017,7,366,Dog/Bat eater,2017-07-01,Specific Terms
2017,8,228,Dog/Bat eater,2017-08-01,Specific Terms
2017,9,209,Dog/Bat eater,2017-09-01,Specific Terms
2017,10,217,Dog/Bat eater,2017-10-01,Specific Terms
2017,11,134,Dog/Bat eater,2017-11-01,Specific Terms
2017,12,117,Dog/Bat eater,2017-12-01,Specific Terms
2018,1,297,Dog/Bat eater,2018-01-01,Specific Terms
2018,2,153,Dog/Bat eater,2018-02-01,Specific Terms
2018,3,252,Dog/Bat eater,2018-03-01,Specific Terms
2018,4,193,Dog/Bat eater,2018-04-01,Specific Terms
2018,5,309,Dog/Bat eater,2018-05-01,Specific Terms
2018,6,389,Dog/Bat eater,2018-06-01,Specific Terms
2018,7,317,Dog/Bat eater,2018-07-01,Specific Terms
2018,8,542,Dog/Bat eater,2018-08-01,Specific Terms
2018,9,195,Dog/Bat eater,2018-09-01,Specific Terms
2018,10,176,Dog/Bat eater,2018-10-01,Specific Terms
2018,11,254,Dog/Bat eater,2018-11-01,Specific Terms
2018,12,268,Dog/Bat eater,2018-12-01,Specific Terms
2019,1,586,Dog/Bat eater,2019-01-01,Specific Terms
2019,2,261,Dog/Bat eater,2019-02-01,Specific Terms
2019,3,505,Dog/Bat eater,2019-03-01,Specific Terms
2019,4,246,Dog/Bat eater,2019-04-01,Specific Terms
2019,5,299,Dog/Bat eater,2019-05-01,Specific Terms
2019,6,600,Dog/Bat eater,2019-06-01,Specific Terms
2019,7,330,Dog/Bat eater,2019-07-01,Specific Terms
2019,8,189,Dog/Bat eater,2019-08-01,Specific Terms
2019,9,184,Dog/Bat eater,2019-09-01,Specific Terms
2019,10,161,Dog/Bat eater,2019-10-01,Specific Terms
2019,11,311,Dog/Bat eater,2019-11-01,Specific Terms
2019,12,214,Dog/Bat eater,2019-12-01,Specific Terms
2020,1,282,Dog/Bat eater,2020-01-01,Specific Terms
2020,2,270,Dog/Bat eater,2020-02-01,Specific Terms
2020,3,1437,Dog/Bat eater,2020-03-01,Specific Terms
2020,4,1138,Dog/Bat eater,2020-04-01,Specific Terms
2020,5,925,Dog/Bat eater,2020-05-01,Specific Terms
2020,6,2470,Dog/Bat eater,2020-06-01,Specific Terms
2020,7,1070,Dog/Bat eater,2020-07-01,Specific Terms
2020,8,566,Dog/Bat eater,2020-08-01,Specific Terms
2020,9,941,Dog/Bat eater,2020-09-01,Specific Terms
2020,10,842,Dog/Bat eater,2020-10-01,Specific Terms
2020,11,512,Dog/Bat eater,2020-11-01,Specific Terms
2020,12,569,Dog/Bat eater,2020-12-01,Specific Terms
2008,1,7,Ling Ling,2008-01-01,Specific Terms
2008,2,7,Ling Ling,2008-02-01,Specific Terms
2008,3,5,Ling Ling,2008-03-01,Specific Terms
2008,4,45,Ling Ling,2008-04-01,Specific Terms
2008,5,28,Ling Ling,2008-05-01,Specific Terms
2008,6,12,Ling Ling,2008-06-01,Specific Terms
2008,7,9,Ling Ling,2008-07-01,Specific Terms
2008,8,11,Ling Ling,2008-08-01,Specific Terms
