year,week,tweets,date,classifier
2020,14,323282,2020-04-01,Ziems-Neutral
2020,14,108782,2020-04-01,Ziems-Other
2020,15,64586,2020-04-08,Ziems-Hate
2020,15,288447,2020-04-08,Ziems-Neutral
2020,15,138683,2020-04-08,Ziems-Other
2020,16,55163,2020-04-15,Ziems-Hate
2020,16,211102,2020-04-15,Ziems-Neutral
2020,16,109446,2020-04-15,Ziems-Other
2020,17,27164,2020-04-22,Ziems-Hate
2020,17,141387,2020-04-22,Ziems-Neutral
2020,17,45047,2020-04-22,Ziems-Other
2020,18,23202,2020-04-29,Ziems-Hate
2020,18,109891,2020-04-29,Ziems-Neutral
2020,18,49492,2020-04-29,Ziems-Other
2020,19,26059,2020-05-06,Ziems-Hate
2020,19,105955,2020-05-06,Ziems-Neutral
2020,19,36621,2020-05-06,Ziems-Other
2020,20,22705,2020-05-13,Ziems-Hate
2020,20,83943,2020-05-13,Ziems-Neutral
2020,20,32685,2020-05-13,Ziems-Other
2020,21,21088,2020-05-20,Ziems-Hate
2020,21,106713,2020-05-20,Ziems-Neutral
2020,21,53276,2020-05-20,Ziems-Other
2020,22,16362,2020-05-27,Ziems-Hate
2020,22,149055,2020-05-27,Ziems-Neutral
2020,22,292970,2020-05-27,Ziems-Other
2020,23,9060,2020-06-03,Ziems-Hate
2020,23,30616,2020-06-03,Ziems-Neutral
2020,23,19659,2020-06-03,Ziems-Other
2020,24,10286,2020-06-10,Ziems-Hate
2020,24,28215,2020-06-10,Ziems-Neutral
2020,24,12847,2020-06-10,Ziems-Other
2020,25,29782,2020-06-17,Ziems-Hate
2020,25,225997,2020-06-17,Ziems-Neutral
2020,25,47233,2020-06-17,Ziems-Other
2020,26,16400,2020-06-24,Ziems-Hate
2020,26,152056,2020-06-24,Ziems-Neutral
2020,26,104548,2020-06-24,Ziems-Other
2020,27,19363,2020-07-01,Ziems-Hate
2020,27,102466,2020-07-01,Ziems-Neutral
2020,27,91663,2020-07-01,Ziems-Other
2020,28,16368,2020-07-08,Ziems-Hate
2020,28,52721,2020-07-08,Ziems-Neutral
2020,28,23273,2020-07-08,Ziems-Other
2020,29,23670,2020-07-15,Ziems-Hate
2020,29,77512,2020-07-15,Ziems-Neutral
2020,29,51993,2020-07-15,Ziems-Other
2020,30,22351,2020-07-22,Ziems-Hate
2020,30,109624,2020-07-22,Ziems-Neutral
2020,30,43039,2020-07-22,Ziems-Other
2020,31,14127,2020-07-29,Ziems-Hate
2020,31,62650,2020-07-29,Ziems-Neutral
2020,31,25554,2020-07-29,Ziems-Other
2020,32,8727,2020-08-05,Ziems-Hate
2020,32,60853,2020-08-05,Ziems-Neutral
2020,32,30130,2020-08-05,Ziems-Other
2020,33,8876,2020-08-12,Ziems-Hate
2020,33,50273,2020-08-12,Ziems-Neutral
2020,33,19550,2020-08-12,Ziems-Other
2020,34,13454,2020-08-19,Ziems-Hate
2020,34,82537,2020-08-19,Ziems-Neutral
2020,34,33561,2020-08-19,Ziems-Other
2020,35,8173,2020-08-26,Ziems-Hate
2020,35,35560,2020-08-26,Ziems-Neutral
2020,35,52857,2020-08-26,Ziems-Other
2020,36,9951,2020-09-02,Ziems-Hate
2020,36,49301,2020-09-02,Ziems-Neutral
2020,36,21354,2020-09-02,Ziems-Other
2020,37,13506,2020-09-09,Ziems-Hate
2020,37,50142,2020-09-09,Ziems-Neutral
2020,37,19075,2020-09-09,Ziems-Other
2020,38,13476,2020-09-16,Ziems-Hate
2020,38,45180,2020-09-16,Ziems-Neutral
2020,38,41657,2020-09-16,Ziems-Other
2020,39,13668,2020-09-23,Ziems-Hate
2020,39,30408,2020-09-23,Ziems-Neutral
2020,39,22741,2020-09-23,Ziems-Other
2020,40,22408,2020-09-30,Ziems-Hate
2020,40,271992,2020-09-30,Ziems-Neutral
2020,40,61434,2020-09-30,Ziems-Other
2020,41,10577,2020-10-07,Ziems-Hate
2020,41,57984,2020-10-07,Ziems-Neutral
2020,41,28238,2020-10-07,Ziems-Other
2020,42,7152,2020-10-14,Ziems-Hate
2020,42,33873,2020-10-14,Ziems-Neutral
2020,42,17880,2020-10-14,Ziems-Other
2020,43,6313,2020-10-21,Ziems-Hate
2020,43,31215,2020-10-21,Ziems-Neutral
2020,43,16455,2020-10-21,Ziems-Other
2020,44,5809,2020-10-28,Ziems-Hate
2020,44,26677,2020-10-28,Ziems-Neutral
2020,44,18285,2020-10-28,Ziems-Other
2020,45,6204,2020-11-04,Ziems-Hate
2020,45,28717,2020-11-04,Ziems-Neutral
2020,45,19717,2020-11-04,Ziems-Other
2020,46,6724,2020-11-11,Ziems-Hate
2020,46,31130,2020-11-11,Ziems-Neutral
2020,46,16084,2020-11-11,Ziems-Other
2020,47,6416,2020-11-18,Ziems-Hate
2020,47,27875,2020-11-18,Ziems-Neutral
2020,47,12979,2020-11-18,Ziems-Other
2020,48,6454,2020-11-25,Ziems-Hate
2020,48,20406,2020-11-25,Ziems-Neutral
2020,48,9546,2020-11-25,Ziems-Other
2020,49,6217,2020-12-02,Ziems-Hate
2020,49,47762,2020-12-02,Ziems-Neutral
2020,49,14238,2020-12-02,Ziems-Other
2020,50,6231,2020-12-09,Ziems-Hate
2020,50,20654,2020-12-09,Ziems-Neutral
2020,50,10698,2020-12-09,Ziems-Other
2020,51,6948,2020-12-16,Ziems-Hate
2020,51,36663,2020-12-16,Ziems-Neutral
2020,51,16316,2020-12-16,Ziems-Other
2020,52,10306,2020-12-23,Ziems-Hate
2020,52,43609,2020-12-23,Ziems-Neutral
2020,52,22686,2020-12-23,Ziems-Other
2020,53,3945,2020-12-30,Ziems-Hate
2020,53,16174,2020-12-30,Ziems-Neutral
2020,53,9597,2020-12-30,Ziems-Other
2021,1,7578,2021-01-01,Ziems-Hate
2021,1,33367,2021-01-01,Ziems-Neutral
2021,1,14011,2021-01-01,Ziems-Other
2021,2,6702,2021-01-08,Ziems-Hate
2021,2,18687,2021-01-08,Ziems-Neutral
2021,2,9107,2021-01-08,Ziems-Other
2021,3,23464,2021-01-15,Ziems-Hate
2021,3,36821,2021-01-15,Ziems-Neutral
2021,3,12668,2021-01-15,Ziems-Other
2021,4,14618,2021-01-22,Ziems-Hate
2021,4,78590,2021-01-22,Ziems-Neutral
2021,4,38517,2021-01-22,Ziems-Other
2021,5,5807,2021-01-29,Ziems-Hate
2021,5,42855,2021-01-29,Ziems-Neutral
2021,5,23339,2021-01-29,Ziems-Other
2021,6,6585,2021-02-05,Ziems-Hate
2021,6,32010,2021-02-05,Ziems-Neutral
2021,6,18913,2021-02-05,Ziems-Other
2021,7,5269,2021-02-12,Ziems-Hate
2021,7,22555,2021-02-12,Ziems-Neutral
2021,7,11170,2021-02-12,Ziems-Other
2021,8,9933,2021-02-19,Ziems-Hate
2021,8,40251,2021-02-19,Ziems-Neutral
2021,8,15659,2021-02-19,Ziems-Other
2021,9,4290,2021-02-26,Ziems-Hate
2021,9,42571,2021-02-26,Ziems-Neutral
2021,9,10785,2021-02-26,Ziems-Other
2021,10,4497,2021-03-05,Ziems-Hate
2021,10,35713,2021-03-05,Ziems-Neutral
2021,10,9136,2021-03-05,Ziems-Other
2021,11,30971,2021-03-12,Ziems-Hate
2021,11,92875,2021-03-12,Ziems-Neutral
2021,11,57843,2021-03-12,Ziems-Other
2021,12,10108,2021-03-19,Ziems-Hate
2021,12,45221,2021-03-19,Ziems-Neutral
2021,12,25403,2021-03-19,Ziems-Other
2021,13,781,2021-03-26,Ziems-Hate
2021,13,3218,2021-03-26,Ziems-Neutral
2021,13,1511,2021-03-26,Ziems-Other
2019,49,15,2019-12-05,Davidson-Neither
2019,50,8,2019-12-10,Davidson-Neither
2019,51,5,2019-12-17,Davidson-Neither
2019,51,2,2019-12-17,Davidson-Offensive language
2019,52,14,2019-12-26,Davidson-Neither
2019,53,5,2019-12-31,Davidson-Neither
2020,1,352,2020-01-01,Davidson-Neither
2020,1,2,2020-01-01,Davidson-Offensive language
2020,2,11,2020-01-08,Davidson-Hate speech
2020,2,4210,2020-01-08,Davidson-Neither
2020,2,1,2020-01-08,Davidson-Offensive language
2020,3,2073,2020-01-15,Davidson-Hate speech
2020,3,64301,2020-01-15,Davidson-Neither
2020,3,136,2020-01-15,Davidson-Offensive language
2020,4,4031,2020-01-22,Davidson-Hate speech
2020,4,534077,2020-01-22,Davidson-Neither
2020,4,1499,2020-01-22,Davidson-Offensive language
2020,5,1256,2020-01-29,Davidson-Hate speech
2020,5,425874,2020-01-29,Davidson-Neither
2020,5,827,2020-01-29,Davidson-Offensive language
2020,6,1005,2020-02-05,Davidson-Hate speech
2020,6,195091,2020-02-05,Davidson-Neither
2020,6,404,2020-02-05,Davidson-Offensive language
2020,7,554,2020-02-12,Davidson-Hate speech
2020,7,122699,2020-02-12,Davidson-Neither
2020,7,372,2020-02-12,Davidson-Offensive language
2020,8,375,2020-02-19,Davidson-Hate speech
2020,8,72331,2020-02-19,Davidson-Neither
2020,8,139,2020-02-19,Davidson-Offensive language
2020,9,363,2020-02-26,Davidson-Hate speech
2020,9,75260,2020-02-26,Davidson-Neither
2020,9,223,2020-02-26,Davidson-Offensive language
2020,10,8487,2020-03-04,Davidson-Hate speech
2020,10,225477,2020-03-04,Davidson-Neither
2020,10,3131,2020-03-04,Davidson-Offensive language
2020,11,36744,2020-03-11,Davidson-Hate speech
2020,11,1114552,2020-03-11,Davidson-Neither
2020,11,23508,2020-03-11,Davidson-Offensive language
2020,12,74673,2020-03-18,Davidson-Hate speech
2020,12,2218316,2020-03-18,Davidson-Neither
2020,12,83186,2020-03-18,Davidson-Offensive language
2020,13,14241,2020-03-25,Davidson-Hate speech
2020,13,966371,2020-03-25,Davidson-Neither
2020,13,5285,2020-03-25,Davidson-Offensive language
2020,14,4868,2020-04-01,Davidson-Hate speech
2020,14,498380,2020-04-01,Davidson-Neither
2020,14,3695,2020-04-01,Davidson-Offensive language
2020,15,6507,2020-04-08,Davidson-Hate speech
2020,15,488316,2020-04-08,Davidson-Neither
2020,15,2592,2020-04-08,Davidson-Offensive language
2020,16,5384,2020-04-15,Davidson-Hate speech
2020,16,373914,2020-04-15,Davidson-Neither
2020,16,1954,2020-04-15,Davidson-Offensive language
