"filename", "language", "YAML", "Python", "JavaScript", "CSS", "SCSS", "Markdown", "JSON", "HTML", "Jupyter", "XML", "TSV", "PDF", "BibTeX", "comment", "blank", "total"
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/comments-providers/facebook.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/comments-providers/google-plus.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/comments-providers/scripts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/comments-providers/staticman.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/comments.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 6, 4, 81
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/footer.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 18, 3, 29
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/footer/custom.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/head.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 7, 22
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/head/custom.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 5, 40
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/masthead.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/page__hero.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/page__taxonomy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/paginator.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/post_pagination.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/read-time.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/scripts.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/seo.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 2, 22, 140
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/sidebar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/social-share.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/yukewang/Desktop/YukeWang96.github.io/_includes/tag-list.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"/Users/yukewang/Desktop/YukeWang96.github.io/_layouts/archive-taxonomy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/yukewang/Desktop/YukeWang96.github.io/_layouts/archive.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
