Headspace UserId,Pack Category,Pack Name,Session Name,Completion Date,Completion Platform
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-01-28 23:28:45,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-01-30 05:04:21,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-01-31 05:15:04,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Relationships,Session 20,2018-01-31 14:59:03,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-02 05:49:14,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-02-03 04:23:43,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,In Your Home,In Your Home,2018-02-03 22:02:07,ANDROID
HSUSER_RQZSRPKAAWOWY30R,MINIS,Unwind,Unwind,2018-02-05 04:13:04,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-02-05 16:20:14,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-02-06 14:23:27,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-02-07 13:53:19,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-09 05:49:27,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Presentations,Presentations,2018-02-09 14:50:15,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-02-11 02:51:24,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-02-12 02:15:36,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-02-13 05:55:32,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Focus,Session 1,2018-02-13 14:53:46,ANDROID
