zipcode,liberalism_index
00000,0.9267229790015262
00001,0.927718804743129
00002,1
00003,0.9035053795033724
00004,1
00005,1
00006,1
00007,0.8725073927159835
00008,1
00009,1
00010,1
00011,1
00012,1
00013,1
00014,0.7980099502487562
00015,1
00016,1
00017,1
00018,1
00019,1
00020,1
00021,1
00022,1
00023,1
00024,0.7833333333333333
00025,0.8117021276595745
00026,0.4583333333333333
00028,1
00029,1
00030,0.4583333333333333
00031,1
00032,1
00033,1
00034,0
00035,1
00037,1
00041,1
00042,1
00049,1
00051,0
00052,1
00055,1
00056,0
00058,1
00059,1
00061,1
00063,1
00065,1
00067,0.46875
00068,1
00072,1
00073,1
00075,1
00078,1
00079,1
00080,1
00085,1
00087,1
00088,1
00090,0
00094,1
00096,0
00097,0
00100,0.48498521051901833
00102,0
00104,1
00105,0
00106,1
00107,0.4276315789473684
00109,1
00110,1
00111,0
00112,1
00113,0.7318840579710144
00114,0
00115,0
00116,1
00122,0
00125,0
00130,1
00133,0
00135,1
00138,0
00139,1
00141,1
00142,0
00144,1
00145,1
00146,0
00147,1
00149,1
00150,1
00151,1
00153,1
00160,1
00162,1
00167,1
00182,1
00184,1
00186,1
00187,1
00188,1
00191,1
00193,1
00194,0
00198,1
00200,0
00212,1
00214,1
00215,1
00220,1
00234,1
00247,1
00248,1
00257,1
00258,1
00260,1
00270,1
00273,1
00279,0
00282,1
00283,1
00284,1
00297,1
00311,1
00314,0
00317,0.3946245733788396
00331,0
00353,1
00356,0
00371,1
00375,1
00400,0
00408,1
00422,1
00426,1
00428,1
00437,0.5305054151624549
00444,0
00450,1
00454,1
00458,1
00502,1
00513,1
00535,1
00536,1
00545,1
00594,1
00600,1
00602,0.6958035362549544
00603,1
00604,1
00605,0.8298948220064726
00606,0
00610,0.644232740810592
00611,0
00612,0.8428882848865059
00613,0.8788549640589091
00614,0.8396176594845796
00622,0.7767543859649123
00623,0.8524757255127798
00624,0.4039449112978525
00625,1
00627,1
00628,1
00629,1
00631,1
00633,1
00637,0.5
00638,1
00639,1
00641,0.6900065592203898
00643,1
00646,0.732089712647493
00647,1
00650,0
00651,1
00653,1
00656,1
00657,0
00659,0.8008499170812604
00660,1
00662,0.5822167974555614
00664,1
00667,0.8115464994775339
00669,1
00674,1
00676,1
00677,0.6973272313641442
00678,1
00680,0.7037691220061253
00681,0.8688291747794524
00682,1
00683,0.8915881858517416
00685,0.7213242513500245
00686,1
00687,1
00690,1
00692,0.7579152018749334
00693,0.7821554387208379
00694,1
00696,1
00698,0.5509358607534574
00703,1
00705,1
00708,1
00712,1
00715,0.7455574611147366
00716,0.8360279718521315
00717,1
00718,1
00719,1
00720,0.5416666666666667
00725,0.9133796285503389
00726,0.8553232844718971
00727,1
00729,0.7194247082209846
00730,1
00731,1
00732,0.4696565466050134
00733,0.4337121212121212
00735,0.3287615224501933
00736,1
00737,0.9166312125779089
00738,0.684783162951319
00739,0.7107287963433215
00743,1
00744,1
00745,0.5185703967558989
00751,0.18451369795041536
00754,1
00757,0.6075819672131147
00758,1
00763,1
00764,1
00765,1
00767,0.6943548387096774
00769,0.7765287769784173
00771,0.453525641025641
00773,0.8634749432159027
00775,1
00777,1
00778,0.5169568491936913
00780,0.7043899830747038
00783,0.6628787878787878
00784,1
00790,0
00791,0.6952967801616184
00792,1
00794,0.75
00795,1
00801,0.7784860205933731
00802,0.7407736380010848
00803,0.7887813935766952
00804,0.8713752512364104
00805,1
00820,0.8502416055354131
00821,0.880584598548915
00822,0.8557298806047242
00823,0.9390590989287407
00824,0.6920491215096415
00830,0.7122993587218001
00831,0.8564385033921139
00840,0.9040579895442664
00841,1
00845,1
00848,1
00850,0.7799211411525767
00851,0.9098043890977814
00853,0
00899,1
00901,0.5108769003661997
00902,0.7980665953533843
00903,1
00905,1
00906,0.29545454545454547
00907,0.7005061797746094
00908,0.6241270156517844
00909,0.6871779702350819
00910,0.6418057045066692
00911,0.5492082463784863
00912,0.7278886725089256
00913,0.7370911335427475
00914,0.7830993018207602
00915,0.8166035353535354
00916,0
00917,0.6885382015285614
00918,0.7412239223068898
00919,0.5444058603228853
00920,0.4794097383359227
00921,0.819597869688005
00922,0.7140643670898069
00923,0.6116039074663471
00924,0.9515585987994722
00925,0.9206386056144616
00926,0.7075082201033556
00927,0.7867744860658117
00928,0.6169991067018575
00929,0.7057721583616725
00930,1
00931,1
00936,0.4877519790560224
00940,0.8800211612711613
00941,1
00946,1
00947,1
00949,0.942948500955291
00950,0.7872736532826868
00951,0
00952,0.5349462365591398
00953,0.7910074703700518
00956,1
00957,0.7939393939393938
00958,1
00959,0.7802359733986325
00960,0.8244783880509299
00961,0.9343814368485543
00962,0
00963,1
00965,0.7900837988826815
00966,0.7635501454454624
00968,0.8587106822609751
00969,0.653937751450756
00970,0.6872315158367437
00971,0.9318079813995567
00976,0.7658814296152942
00977,1
00978,0.8132139378375985
00979,0.7240283810332091
00983,0.5369539233635506
00984,0.7712722287191827
00985,1
00986,1
00987,0.8847967090397006
01001,0.6804381308869646
01002,0.9658604192824687
01003,1
01004,0.9648883099155992
01005,0.8510642831468289
01006,1
01007,0.9105821955440611
01008,0.6665171973870155
01009,0.6168745792662403
01010,0.5800199096674499
01011,0.8355917366946779
01012,0.8320771236860003
01013,0.7745989321651888
01014,0
01020,0.6231815382925897
01021,0.33219346888478124
01022,0.4608223341282166
01023,1
01026,0.7544369134728439
01027,0.8576316644432517
01028,0.6236981156820429
01029,1
01030,0.6095338942800541
01031,0.14545828971838232
01032,0.7285295349811479
01033,0.5483533249097201
01034,0.9248330373688812
01035,0.7832891921556973
01036,0.7076137575542126
01037,1
01038,0.8824888197444589
