weeknumber	weekday	date	start	end	duration	category	project	location
4	3	1/24	10:00 a	12:15 PM	2:15	science		lab
4	3	1/24	1:00 PM	6:00 p	5:0	science		lab
4	3	1/24	10:00 p	10:30 p	0:30	science	meta_analysis	home
4	4	1/25	10:36 a	14:00	3:24	science		lab
4	4	1/25	3:00 PM	7:00 p	4:0	science		lab
4	5	1/26	10:00 a	12:20 p	2:20	science		lab
4	5	1/26	1:00 p	6:00 PM	5:0	science		lab
4	6	1/27	9:00 a	9:30 a	0:30	professional	blog	home
4	6	1/27	10:15 AM	12:00 PM	1:45	science		lab
4	6	1/27	12:00 p	1:15 p	1:15	extracurricular	board	mit
4	6	1/27	2:30 PM	6:45 p	4:15	science		rafalab
5	2	1/30	8:30 a	9:25 a	0:55	extracurricular	symposium	home
5	2	1/30	10:10 a	1:20 p	3:10	science		lab
5	2	1/30	1:30 p	2:15 p	0:45	extracurricular	refs	koch
5	2	1/30	2:15 PM	3:00 PM	0:45	extracurricular	diversity	koch
5	2	1/30	3:00 p	4:15 p	1:15	extracurricular	symposium	lab
5	2	1/30	9:30 p	10:30 PM	1:0	extracurricular		home
5	3	1/31	9:50 a	11:50 a	2:0	science		lab
5	3	1/31	12:00 p	12:30 p	0:30	professional	20207	mit
5	3	1/31	12:30 p	1:00 p	0:30	extracurricular	board	mit
5	3	1/31	1:10 p	5:15 p	4:5	science		lab
5	3	1/31	6:00 p	6:30 p	0:30	extracurricular	symposium	lab
5	4	2/1	9:30 a	10:30 a	1:0	extracurricular	symposium	lab
5	4	2/1	10:45 a	11:45 a	1:0	professional	d4d	lab
5	4	2/1	1:20 p	7:00 PM	5:40	science		lab
5	5	2/2	8:00 a	9:30 a	1:30	frisbee	workout	track
5	4	2/1	8:00 a	9:00 a	1:0	frisbee	workout	gym
5	5	2/2	9:50 a	12:00 PM	2:10	science		lab
5	5	2/2	12:00 p	1:30 p	1:30	extracurricular	board	mit
5	5	2/2	1:40 p	2:55 p	1:15	science		lab
5	5	2/2	3:00 PM	4:00 p	1:0	extracurricular	refs	mit
5	5	2/2	4:00 p	5:15 p	1:15	science	seminar	mit
5	5	2/2	9:15 p	9:50 p	0:35	science	paper	home
5	6	2/3	8:45 a	4:30 p	7:45	professional	data_science	microsoft
5	6	2/3	7:00 p	8:00 p	1:0	science		home
5	7	2/4	10:00 a	11:00 a	1:0	professional	blog	home
5	6	2/3	9:00 p	11:00 p	2:0	frisbee	practice	gym
5	7	2/4	11:00 a	11:30 a	0:30	science		home
5	7	2/4	12:00 p	12:30 p	0:30	science		home
5	7	2/4	5:00 p	6:35 p	1:35	science		home
6	1	2/5	1:00 p	3:00 p	2:0	professional	d4d	home
6	2	2/6	10:00 a	11:00 a	1:0	extracurricular	diversity	mit
6	2	2/6	11:00 a	4:30 p	5:30	science		lab
6	2	2/6	4:30 p	6:15 p	1:45	professional	meeting	coffee_shop
6	2	2/6	6:30 p	7:15 p	0:45	science		lab
6	2	2/6	7:15 p	8:00 p	0:45	professional	blog	lab
6	2	2/6	8:20 p	9:00 p	0:40	professional	d4d	lab
6	2	2/6	9:00 p	10:00 p	1:0	science		lab
6	2	2/6	10:20 p	10:45 p	0:25	extracurricular	diversity	lab
6	3	2/7	8:30 a	10:00 a	1:30	frisbee	workout	gym
6	3	2/7	10:00 a	6:15 p	8:15	science		lab
6	3	2/7	8:45 p	9:15 p	0:30	science		campus
6	3	2/7	9:15 p	10:15 p	1:0	professional	d4d	campus
6	3	2/7	10:50 p	11:45 p	0:55	extracurricular	tutoring	campus
6	4	2/8	10:00 a	12:45 p	2:45	science		home
6	4	2/8	1:00 p	2:00 p	1:0	extracurricular	diversity	off_campus
6	4	2/8	5:00 p	7:00 p	2:0	science	urop	lab
6	5	2/9	9:10 a	11:30 a	2:20	science		home
6	5	2/9	1:00 p	6:40 p	5:40	science		lab
6	5	2/9	6:50 p	7:40 p	0:50	professional	d4d	lab
6	6	2/10	8:15 a	9:35 a	1:20	frisbee	workout	gym
6	6	2/10	10:10 a	1:30 p	3:20	science		lab
6	6	2/10	2:30 p	4:30 p	2:0	science		longwood
6	6	2/10	5:00 p	5:50 p	0:50	science		lab
6	7	2/11	9:40 a	12:05 p	2:25	science		train
7	2	2/13	1:15 p	4:15 p	3:0	science		train
7	2	2/13	8:45 p	10:40 p	1:55	professional	d4d	home
7	3	2/14	9:15 a	10:20 a	1:5	science		home
7	3	2/14	11:00 a	12:00 p	1:0	extracurricular	diversity	campus
7	3	2/14	12:15 p	4:00 p	3:45	science		lab
7	3	2/14	4:00 p	5:30 p	1:30	extracurricular	refs	lab
7	3	2/14	5:30 p	6:30 p	1:0	extracurricular	diversity	campus
7	3	2/14	10:00 p	10:25 p	0:25	science		home
7	3	2/14	10:45 p	11:50 p	1:5	extracurricular	diversity	home
7	4	2/15	8:45 a	9:50 a	1:5	frisbee	workout	gym
7	4	2/15	10:00 a	12:00 p	2:0	science		lab
7	4	2/15	12:00 p	1:00 p	1:0	extracurricular	symposium	lab
7	4	2/15	1:00 p	1:45 p	0:45	science	urop	lab
7	4	2/15	2:00 p	3:00 p	1:0	science		lab
7	4	2/15	3:00 p	4:00 p	1:0	extracurricular	microbiome_club	lab
7	4	2/15	4:00 p	6:30 p	2:30	science		lab
7	4	2/15	7:00 p	7:45 p	0:45	science		lab
7	4	2/15	8:00 p	9:30 p	1:30	frisbee	workout	gym
7	5	2/16	9:00 a	6:00 p	9:0	science	conference	broad
7	5	2/16	9:00 p	10:00 p	1:0	extracurricular		lab
7	6	2/17	9:00 a	5:00 p	8:0	science	conference	broad
7	7	2/18	11:00 a	1:30 p	2:30	science		home
7	7	2/18	3:00 p	4:15 p	1:15	extracurricular	diversity	campus
7	7	2/18	4:15 p	5:50 p	1:35	frisbee	practice	fields
8	2	2/20	10:00 a	12:00 p	2:0	science	paper	lab
8	2	2/20	12:40 p	4:45:00 PM	4:5	science		lab
8	2	2/20	11:15 PM	11:45 p	0:30	science		home
8	2	2/20	4:45 p	5:15 PM	0:30	frisbee	throwing	outside
8	2	2/20	12:00 AM	12:45 a	0:45	professional	blog	home
8	3	2/21	9:00 a	10:00 a	1:0	science	talk	home
8	3	2/21	10:50 a	2:50 p	4:0	science		lab
8	3	2/21	3:00 p	3:30 p	0:30	frisbee	throwing	outside
8	3	2/21	4:00 p	6:00 p	2:0	science		lab
8	3	2/21	8:15 p	11:00 p	2:45	science	pipeline	home
8	4	2/22	8:30 a	10:30 a	2:0	science	talk	broad
8	4	2/22	10:15 a	3:15 p	5:0	science		lab
8	4	2/22	3:45 p	5:00 p	1:15	science		lab
8	4	2/22	6:00 p	6:30 p	0:30	science		lab
8	5	2/23	11:00 a	12:00 p	1:0	science		lab
8	5	2/23	12:00 p	1:00 p	1:0	extracurricular	board	campus
8	5	2/23	1:30 p	3:00 p	1:30	science		lab
8	5	2/23	4:00 PM	5:00 p	1:0	science	talk	campus
8	4	2/22	7:00 p	8:30 p	1:30	frisbee	practice	fields
8	5	2/23	7:30 p	8:10 p	0:40	science		home
8	5	2/23	8:35 p	8:55 p	0:20	extracurricular	refs	home
8	6	2/24	9:30 a	10:40 a	1:10	extracurricular	symposium	campus
8	6	2/24	11:00 a	12:00 p	1:0	extracurricular	soe_thing	lab
8	6	2/24	12:00 PM	1:00 p	1:0	science	talk	campus
8	6	2/24	1:00 p	2:20 p	1:20	extracurricular	diversity	campus
8	6	2/24	5:20 p	6:20 p	1:0	science		plane
9	2	2/27	11:00 a	4:00 p	5:0	science		lab
9	2	2/27	4:00 p	4:50 p	0:50	extracurricular	microbiome_club	lab
9	2	2/27	5:00 p	5:35 p	0:35	science		lab
9	2	2/27	8:45 p	9:30 p	0:45	professional	blog	home
9	2	2/27	9:45 p	10:15 p	0:30	extracurricular	symposium	home
9	2	2/27	10:15 p	10:50 p	0:35	extracurricular	diversity	home
9	2	2/27	10:50 p	11:15 p	0:25	professional	blog	home
9	3	2/28	10:30 a	11:30 a	1:0	extracurricular	soe_thing	campus
9	3	2/28	11:30 a	1:10 p	1:40	extracurricular	refs	campus
9	3	2/28	1:10 p	1:30 p	0:20	extracurricular	diversity	lab
9	3	2/28	1:40 p	3:00 p	1:20	extracurricular		lab
9	3	2/28	3:00 p	7:15 p	4:15	science		lab
9	3	2/28	9:35 p	10:00 p	0:25	extracurricular	diversity	home
9	4	3/1	10:45 a	1:30 p	2:45	science		lab
9	4	3/1	1:30 p	2:00 p	0:30	frisbee		lab
9	4	3/1	2:00 p	6:40 p	4:40	science		lab
9	5	3/2	8:00 a	9:00 a	1:0	frisbee	workout	track
9	5	3/2	10:00 a	12:00 p	2:0	science		lab
9	5	3/2	12:00 p	1:00 p	1:0	extracurricular	board	campus
9	5	3/2	1:00 p	5:20 p	4:20	science		lab
9	5	3/2	5:20 p	6:10 p	0:50	extracurricular	refs	lab
9	6	3/3	8:50 a	9:15 a	0:25	extracurricular	tutoring	campus
9	5	3/2	11:00 p	23:59	0:59	extracurricular	tutoring	campus
9	5	3/2	12:00 a	12:15 a	0:15	extracurricular	tutoring	campus
9	6	3/3	9:15 a	10:15 a	1:0	extracurricular	interview_weekend	coffee_shop
9	6	3/3	10:15 AM	11:25 a	1:10	extracurricular	refs	coffee_shop
9	6	3/3	11:25 a	1:30 p	2:5	science		lab
9	6	3/3	1:30 p	3:45 p	2:15	extracurricular	refs	campus
9	6	3/3	4:00 p	6:00 p	2:0	science		lab
9	6	3/3	9:30 p	11:45 p	2:15	science	pipeline	home
9	7	3/4	9:50 a	1:45 p	3:55	extracurricular	symposium	lab
9	7	3/4	2:00 p	4:00 p	2:0	extracurricular	diversity	lab
