"","V1"
"1",0.0877394643457144
"2",0.093242374979325
"3",0.0821094634021041
"4",0.103005956439747
"5",0.0855236399108196
"6",0.100393133511535
"7",0.0939911270377533
"8",0.0921806772565585
"9",0.102350256820103
"10",0.0935516396762434
"11",0.0816148651763238
"12",0.0957782017589592
"13",0.0744275669484068
"14",0.101416169457197
"15",0.0822719411549581
"16",0.0989505606880839
"17",0.0798681919767002
"18",0.0818298296926036
"19",0.0854614708761854
"20",0.0913590637299073
"21",0.101079567663726
"22",0.105602934101968
"23",0.0760221981644054
"24",0.108732374989558
"25",0.106239242534027
"26",0.0920605981613271
"27",0.0995661069589946
"28",0.093040752992817
"29",0.0976782341301421
"30",0.0934262491535955
"31",0.1027338017388
"32",0.114921344369606
"33",0.0814398620850705
"34",0.0996540770853065
"35",0.104705836582177
"36",0.08787301379677
"37",0.0932541765730933
"38",0.101534356986235
"39",0.0844470807589778
"40",0.101698172745936
"41",0.0798460633290854
"42",0.084614901932166
"43",0.0883156750630961
"44",0.0970974811749643
"45",0.0916737264363812
"46",0.0952390321840775
"47",0.0997298034497438
"48",0.110639738203532
"49",0.103429179609887
"50",0.086083874864075
"51",0.0936788621973961
"52",0.0826818277389378
"53",0.106869599611195
"54",0.109858538927456
"55",0.0988702928974391
"56",0.0986574614636233
"57",0.101435395462127
"58",0.0903764569522936
"59",0.0880990969120355
"60",0.0856738634874527
"61",0.0893309827726971
"62",0.093387430823351
"63",0.0975121675562601
"64",0.102227173974813
"65",0.0935510022940954
"66",0.090902292534256
"67",0.103975921099055
"68",0.0839958982650204
"69",0.0842422540032278
"70",0.0924350461243051
"71",0.0857194605580324
"72",0.0882385251804192
"73",0.0849887755538459
"74",0.101399239122568
"75",0.0983472366353542
"76",0.0793180547903017
"77",0.0837456575468688
"78",0.0881703087274684
"79",0.0797698830215882
"80",0.0916676207776429
"81",0.105788055205179
"82",0.0928852604534669
"83",0.0937582266754768
"84",0.094783175936443
"85",0.0903800986377655
"86",0.0862292834515997
"87",0.0831337205972866
"88",0.0985037644492515
"89",0.0981196768850158
"90",0.0892111566634606
"91",0.112273108000494
"92",0.0914951246375344
"93",0.0788161002891285
"94",0.0957057646937463
"95",0.0980532330012141
"96",0.0983961190751901
"97",0.0905854820243393
"98",0.0969445562965712
"99",0.0913329762716372
"100",0.0966771927669594
"101",0.0859280730330167
"102",0.0818679861290324
"103",0.0944729597383689
"104",0.104808139642957
"105",0.0821048539074025
"106",0.0904926821482556
"107",0.0876061723924345
"108",0.0812840464746572
"109",0.105780915863655
"110",0.0950443339807901
"111",0.0862911485016256
"112",0.0969073936226668
"113",0.0951654413206502
"114",0.0870128967629777
"115",0.0942562933002603
"116",0.0963635694127768
"117",0.102326948547231
"118",0.104403618540996
"119",0.0842698207263498
"120",0.069073422355126
"121",0.0943201339738233
"122",0.0830821542003597
"123",0.0961215265637852
"124",0.07177614926529
"125",0.0824215234604776
"126",0.0864236420192916
"127",0.0908176742382277
"128",0.0784883509471421
"129",0.0833388509850814
"130",0.0840257313877711
"131",0.090005733665874
"132",0.0880763495663763
"133",0.104973671619577
"134",0.0991206284262801
