date	going_to	method	leave	bus_time	bus_number	leave_bus	arrive	duration	open_mbta_said	
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
								0:00:00		
